1;Stench;Hedor
2;Drizzle;Llovizna
3;Speed Boost;Impulso
4;Battle Armor;Armadura batalla
5;Sturdy;Robustez
6;Damp;Humedad
7;Limber;Flexibilidad
8;Sand Veil;Velo arena
9;Static;Electricidad estática
10;Volt Absorb;Absorbe electricidad
11;Water Absorb;Absorbe agua
12;Oblivious;Despiste
13;Cloud Nine;Aclimatación
14;Compound Eyes;Ojo compuesto
15;Insomnia;Insomnio
16;Color Change;Cambio color
17;Immunity;Inmunidad
18;Flash Fire;Absorbe fuego
19;Shield Dust;Polvo escudo
20;Own Tempo;Ritmo propio
21;Suction Cups;Ventosas
22;Intimidate;Intimidación
23;Shadow Tag;Sombra trampa
24;Rough Skin;Piel tosca
25;Wonder Guard;Superguarda
26;Levitate;Levitación
27;Effect Spore;Efecto espora
28;Synchronize;Sincronía
29;Clear Body;Cuerpo puro
30;Natural Cure;Cura natural
31;Lightning Rod;Pararrayos
32;Serene Grace;Dicha
33;Swift Swim;Nado rápido
34;Chlorophyll;Clorofila
35;Illuminate;Iluminación
36;Trace;Rastro
37;Huge Power;Potencia
38;Poison Point;Punto tóxico
39;Inner Focus;Foco interno
40;Magma Armor;Escudo magma
41;Water Veil;Velo agua
42;Magnet Pull;Imán
43;Soundproof;Insonorizar
44;Rain Dish;Cura lluvia
45;Sand Stream;Chorro arena
46;Pressure;Presión
47;Thick Fat;Sebo
48;Early Bird;Madrugar
49;Flame Body;Cuerpo llama
50;Run Away;Fuga
51;Keen Eye;Vista lince
52;Hyper Cutter;Corte fuerte
53;Pickup;Recogida
54;Truant;Ausente
55;Hustle;Entusiasmo
56;Cute Charm;Gran encanto
57;Plus;Más
58;Minus;Menos
59;Forecast;Predicción
60;Sticky Hold;Viscosidad
61;Shed Skin;Mudar
62;Guts;Agallas
63;Marvel Scale;Escama especial
64;Liquid Ooze;Lodo líquido
65;Overgrow;Espesura
66;Blaze;Mar llamas
67;Torrent;Torrente
68;Swarm;Enjambre
69;Rock Head;Cabeza roca
70;Drought;Sequía
71;Arena Trap;Trampa arena
72;Vital Spirit;Espíritu vital
73;White Smoke;Humo blanco
74;Pure Power;Energía pura
75;Shell Armor;Caparazón
76;Air Lock;Bucle aire
77;Tangled Feet;Tumbos
78;Motor Drive;Electromotor
79;Rivalry;Rivalidad
80;Steadfast;Impasible
81;Snow Cloak;Manto níveo
82;Gluttony;Gula
83;Anger Point;Irascible
84;Unburden;Liviano
85;Heatproof;Ignífugo
86;Simple;Simple
87;Dry Skin;Piel seca
88;Download;Descarga
89;Iron Fist;Puño férreo
90;Poison Heal;Antídoto
91;Adaptability;Adaptable
92;Skill Link;Encadenado
93;Hydration;Hidratación
94;Solar Power;Poder solar
95;Quick Feet;Pies rápidos
96;Normalize;Normalidad
97;Sniper;Francotirador
98;Magic Guard;Muro mágico
99;No Guard;Indefenso
100;Stall;Rezagado
101;Technician;Experto
102;Leaf Guard;Defensa hoja
103;Klutz;Zoquete
104;Mold Breaker;Rompemoldes
105;Super Luck;Afortunado
106;Aftermath;Detonación
107;Anticipation;Anticipación
108;Forewarn;Alerta
109;Unaware;Ignorante
110;Tinted Lens;Cromolente
111;Filter;Filtro
112;Slow Start;Inicio lento
113;Scrappy;Intrépido
114;Storm Drain;Colector
115;Ice Body;Gélido
116;Solid Rock;Roca sólida
117;Snow Warning;Nevada
118;Honey Gather;Recogemiel
119;Frisk;Cacheo
120;Reckless;Audaz
121;Multitype;Multitipo
122;Flower Gift;Don floral
123;Bad Dreams;Mal sueño
124;Pickpocket;Hurto
125;Sheer Force;Potencia bruta
126;Contrary;Respondón
127;Unnerve;Nerviosismo
128;Defiant;Competitivo
129;Defeatist;Flaqueza
130;Cursed Body;Cuerpo maldito
131;Healer;Alma cura
132;Friend Guard;Compiescolta
133;Weak Armor;Armadura frágil
134;Heavy Metal;Metal pesado
135;Light Metal;Metal liviano
136;Multiscale;Multiescamas
137;Toxic Boost;Ímpetu tóxico
138;Flare Boost;Ímpetu ardiente
139;Harvest;Cosecha
140;Telepathy;Telepatía
141;Moody;Veleta
142;Overcoat;Funda
143;Poison Touch;Toque tóxico
144;Regenerator;Regeneración
145;Big Pecks;Sacapecho
146;Sand Rush;Ímpetu arena
147;Wonder Skin;Piel milagro
148;Analytic;Cálculo final
149;Illusion;Ilusión
150;Imposter;Impostor
151;Infiltrator;Allanamiento
152;Mummy;Momia
153;Moxie;Autoestima
154;Justified;Justiciero
155;Rattled;Cobardía
156;Magic Bounce;Espejo mágico
157;Sap Sipper;Herbívoro
158;Prankster;Bromista
159;Sand Force;Poder arena
160;Iron Barbs;Punta acero
161;Zen Mode;Modo Daruma
162;Victory Star;Tinovictoria
